id,de,en,es,fr,phe,kcal,protein,fat,carbs,sugar,fiber,salt,emoji
T615100,"Rotbarsch/Goldbarsch, roh","Ocean perch/redfish, raw","Gallineta, cruda","Sébaste, cru",0.638,92,15.3,3.47,0,0,0,0.2,🐟
T730100,Hummer roh,Lobster raw,Bogavante crudo,Homard cru,0.67,81,15.9,1.9,0,0,0,0.675,🦐
T753100,"Garnele/Granat/Krabbe, roh",Common shrimp raw,"Camarón, crudo","Crevette grise, crue",0.88,87,18.6,1.44,0,0,0,0.365,🦐
T780100,Europäische Auster roh,European oyster raw,Ostra europea cruda,Huître plate crue,0.42,67,9,2.94,1.09,0,0,0.4,🦪
T792100,Miesmuschel roh,Common mussel raw,Mejillón crudo,Moule crue,0.41,60,10.51,1.955,0,0,0,0.74,🦪
U505100,"Schwein Fettwamme, ohne Schwarten, geringer Magerfleischanteil (S XI) roh","Pork fat belly flank, without rind, low lean meat content (S XI) raw","Cerdo, falda grasa sin corteza, poca carne magra (S XI) cruda","Porc, flanchet gras sans couenne, faible teneur en viande maigre (S XI) cru",0.27167,645,6.3,68.82,0,0,0,0.124,🥩
U805800,"Schaf Fettgewebe, intermuskulär roh","Sheep fatty tissue, intermuscular, raw","Oveja, tejido graso intermuscular, crudo","Mouton, tissu adipeux intermusculaire, cru",0.182,637,5.06,68.5,0,0,0,0.085,🥩
U852100,"Schaf Brust, mittelfett, roh","Sheep breast, medium fat, raw","Oveja, pecho, semigraso, crudo","Mouton, poitrine, mi-grasse, crue",0.9,179,19.6,11.2,0,0,0,0.215,🥩
U853100,"Schaf Brust, fett, roh","Sheep breast, fat, raw","Oveja, pecho, graso, crudo","Mouton, poitrine, grasse, crue",0.56,381,12,37,0,0,0,0.2,🥩
U861100,"Schaf Bug/Schulter, mager, roh","Sheep shoulder, lean, raw","Oveja, paleta, magra, cruda","Mouton, épaule, maigre, crue",0.802,140,19.7,6.76,0,0,0,0.175,🥩
U891100,"Schaf Hinterhaxe, mager, roh","Sheep hindshank, lean, raw","Oveja, jarrete trasero, magro, crudo","Mouton, jarret arrière, maigre, cru",0.804,112,20.4,3.35,0,0,0,0.205,🥩
V132100,"Kaninchen Fleisch, roh","Domestic rabbit meat, raw","Conejo, carne, cruda","Lapin, viande, crue",0.874,133,20.8,5.5,0,0,0,0.132,🍖
V232100,"Hase Fleisch, roh","Hare meat, raw","Liebre, carne, cruda","Lièvre, viande, crue",0.89,113,21.6,3.01,0,0,0,0.11,🍖
V523100,"Schwein Hirn, roh","Pork brain, raw","Cerdo, sesos, crudos","Porc, cervelle, crue",0.55,123,10.6,9,0,0,0,0.382,🍖
V524100,"Schaf Hirn, roh","Sheep brain, raw","Oveja, sesos, crudos","Mouton, cervelle, crue",0.501,119,10.4,8.58,0,0,0,0.28,🍖
C232000,Hafer Schrot,Oat coarse meal,Avena molida gruesa,Avoine concassée,0.648,343,11.375,7.09,53.7,1.08,9.3,0.02,🌾
C137000,Hafer Grütze,Oat groats,Sémola gruesa de avena,Gruau d'avoine,0.868,351,15.9,5.84,53.3,0.74,10.689,0.0158,🥣
C233000,Hafer Mehl,Oat flour,Harina de avena,Farine d'avoine,0.8115,360,14.238,7.15,53.2,0.61,12.8,0.015,🌾
C138000,Hafer Kleie,Oat bran flakes,Salvado de avena,Son d'avoine,0.9,371,15.6,7.7,53.3,0.74,12.9,0.00495,🌾
C148000,Gerste Graupen,Pearl barley,Cebada perlada,Orge perlé,0.49,313,10.399,1.36,62.6,1.71,4.6,0.012,🌾
C242000,Gerste Schrot,Barley coarse meal,Cebada molida gruesa,Orge concassée,0.53,332,11.244,2.1,62.6,1.71,8.7,0.045,🌾
C147000,Gerste Grütze,Barley groats,Sémola gruesa de cebada,Gruau d'orge,0.45,316,8.502,1.5,62.01,1.71,10.3,0.008,🌾
C143000,Gerste Flocken,Barley flakes,Copos de cebada,Flocons d'orge,0.586,332,11.244,2.1,62.6,1.71,8.7,0.045,🥣
C146000,Gerste Grieß,Barley semolina,Sémola de cebada,Semoule d'orge,0.6,340,11.3,2,62.6,1.71,13,0.02,🌾
C446000,Mais Stärke,Maize starch,Almidón de maíz,Amidon de maïs,0.02,348,0.431,0.08,85.9,0,1,0.008,🌽
C453000,Reis Mehl,Rice flour,Harina de arroz,Farine de riz,0.39,347,7.198,0.65,77.1,0.28,2,0.01,🌾
C351000,"Reis unpoliert, roh",Brown rice raw,"Arroz integral, crudo","Riz complet, cru",0.42,360,8.384,2.7,73.43,0.73,4,0.009765,🍚
C346000,Mais Grieß,Maize semolina,Sémola de maíz,Semoule de maïs,0.41,330,8.663,2.82,62.84,1.39,9.42,0.002,🌽
C347000,Mais Grütze,Maize grits,Sémola gruesa de maíz,Gruau de maïs,0.41,330,8.663,2.82,62.84,1.39,9.42,0.002,🌽
E432000,Eierteigwaren roh,Egg pasta raw,Pasta al huevo cruda,Pâtes aux œufs crues,0.64,342,13.2,2,66.093,1.638,3.38,1.25,🍝
F409100,Wald-Erdbeere roh,Wild strawberry raw,Fresa silvestre cruda,Fraise des bois crue,0.03,38,0.82,0.4,5.917,5.857,2,0.002,🫐
F306100,Loganbeere roh,Loganberry raw,Baya de Logan cruda,Mûre de Logan crue,0.03,36,1.1,0.3,3.4,3.4,4.7,0.008,🫐
F303100,Brombeere roh,Blackberry raw,Mora cruda,Mûre crue,0.036,49,1.3,0.2,10.2,5.4,3.2,0.002,🫐
F321100,"Johannisbeere rot, roh",Red currant raw,"Grosella roja, cruda","Groseille rouge, crue",0.04,39,1.438,0.2,4.3,4.3,3.5,0.005,🫐
F307100,Boysenbeere roh,Boysenberry raw,Baya de Boysen cruda,Baie de Boysen crue,0.014,48,0.5,0.3,7.01,7.01,4.7,0.0012,🫐
F304100,Heidelbeere roh,Blueberry raw,Arándano crudo,Myrtille crue,0.008,61,0.5,0.6,9.7,9.7,4.9,0.005,🫐
G553100,"Pfefferschote grün, roh","Chilli pepper green, raw","Guindilla verde, cruda","Piment vert, cru",0.062,41,2,0.2,6.88,6.51,1.5,0.018,🥬
G542100,"Gemüsepaprika gelb, roh","Sweet pepper yellow, raw","Pimiento amarillo, crudo","Poivron jaune, cru",0.027,28,0.8,0.2,4.422,4.422,2.2,0.002,🫑
G554100,"Pfefferschote rot, roh","Chilli pepper red, raw","Guindilla roja, cruda","Piment rouge, cru",0.062,40,1.87,0.44,6.19,6.19,1.5,0.022,🥬
H650100,"Mungbohnensprossen/Mungbohnenkeimlinge, roh",Mung bean sprouts raw,"Brotes de judía mungo, crudos","Germes de haricot mungo, crus",0.193,19,3.2,0.3,0.3,0.3,1.24,0.012,🌱
H620100,"Sojabohnensprossen/Sojabohnenkeimlinge, roh",Soya bean sprouts raw,"Brotes de soja, crudos","Germes de soja, crus",0.284,40,6.306,1.025,0.3,0.3,2.38,0.075,🌱
M012200,Feta mind. 45 % Fett i. Tr.,Feta min. 45 % fat in dry matter,Feta mín. 45 % grasa en extracto seco,Feta min. 45 % MG sur extrait sec,0.89,284,15.68,24.09,0,0,0,2.392,🧀
M502700,Edelpilzkäse mind. 50 % Fett i. Tr.,Blue cheese min. 50 % fat in dry matter,Queso azul mín. 50 % grasa en extracto seco,Fromage bleu min. 50 % MG sur extrait sec,1.09,346,21.4,28.7,0,0,0,2.2,🧀
M502600,Edelpilzkäse mind. 45 % Fett i. Tr.,Blue cheese min. 45 % fat in dry matter,Queso azul mín. 45 % grasa en extracto seco,Fromage bleu min. 45 % MG sur extrait sec,1.015,329,18.65,28.06,0,0,0,1.868,🧀
M502800,Edelpilzkäse mind. 60 % Fett i. Tr.,Blue cheese min. 60 % fat in dry matter,Queso azul mín. 60 % grasa en extracto seco,Fromage bleu min. 60 % MG sur extrait sec,0.842,409,17.6,37.4,0.1,0.1,0,1.955,🧀
M887000,Süßmolkenpulver,Sweet whey powder,Suero dulce en polvo,Lactosérum doux en poudre,0.5,349,10.9,1.1,72.8,72.8,0,2,🥛
P350000,Fruchtwein (Obstwein),Fruit wine,Vino de frutas,Vin de fruits,0,43,0,0,4,4,0,0.01,🍷
P355000,Most,Apple must,Mosto de manzana,Moût de pomme,0,37,0,0,1.6,1.6,,0.01,🍸
P733000,Whisky/Whiskey,Whisky/whiskey,Whisky,Whisky,0,231,0,0,0,0,0,0.00035,🥃
P742000,Arrak,Arrack,Arak,Arak,0,214,0,0,0,0,0,0.002,🍸
P743000,Rum 80 % vol,Rum 80 % vol,Ron 80 % vol,Rhum 80 % vol,0,455,0,0,0,0,0,0.002,🥃
P7A4000,Agavenbrand (Mezcal/Tequila),Agave spirit (Mezcal/Tequila),Aguardiente de agave (mezcal/tequila),Eau-de-vie d'agave (mezcal/tequila),0,234,0,0,0,0,0,0.002,🥃
P740000,Brand aus Zuckerrohr (Cachaca),Sugarcane spirit,Aguardiente de caña (cachaza),Eau-de-vie de canne (cachaça),0,214,0,0,0,0,0,0.002,🍸
P640000,Calvados,Calvados,Calvados,Calvados,0,227,0,0,0,0,0,0.002,🥃
P7A3000,Spirituosen mit Kümmel/Aquavit,Caraway-flavoured spirit drink or Kümmel/Aquavit,Bebida espirituosa de alcaravea/aquavit,Boisson spiritueuse au carvi/aquavit,0,274,0,0,0,0,0,0.002,🥃
P754100,Obstgeist,Fruit geist,Aguardiente de fruta macerada (Geist),Eau-de-vie de fruits macérés (Geist),0,274,0,0,0,0,0,0.002,🍇
C549000,Gerstenmalzextrakt,Barley malt extract,Extracto de malta de cebada,Extrait de malt d'orge,0.2,359,4.4,0,73.8,50.6,,0.025,🌾
T105100,Sardine roh,Sardine raw,Sardina cruda,Sardine crue,0.91,151,19.4,8.15,0,0,0,0.34,🐟
T033000,"Schillerlocken (Dornhai, Bauchlappen, heiß geräuchert)",Piked dogfish belly hot smoked,"Schillerlocken (vientre de mielga, ahumado en caliente)","Schillerlocken (ventre d'aiguillat, fumé à chaud)",0.9,286,21.3,22.3,0,0,0,1.558,🐟
T106100,Sprotte roh,Sprat raw,Espadín crudo,Sprat cru,0.7,186,16.7,13.3,0,0,0,0.225,🐟
T305100,"Goldbutt/Scholle, roh",Plaice raw,"Solla, cruda","Plie, crue",0.687,76,17.2,0.8,0,0,0,0.153,🐟
T307100,Schwarzer Heilbutt roh,Greenland halibut raw,Fletán negro crudo,Flétan noir cru,0.447,161,13.217,12,0,0,0,0.215,🐟
T604100,"Katfisch/Steinbeißer, roh","Catfish/wolffish, raw","Pez lobo, crudo","Loup de l'Atlantique, cru",0.71,82,15.8,2.13,0,0,0,0.262,🐟
T512100,Schleie roh,Tench raw,Tenca cruda,Tanche crue,0.874,77,17.7,0.74,0,0,0,0.082,🐟
T506100,Wels roh,European catfish raw,Siluro crudo,Silure cru,0.636,128,15.3,7.4,0,0,0,0.048,🐟
T507100,"Pangasius/Schlankwels, roh",Striped catfish raw,"Panga, cruda","Pangasius, cru",0.62,76,14.91,1.82,0,0,0,0.585,🐟
T603100,Zander roh,Pike-perch raw,Lucioperca cruda,Sandre cru,0.988,86,20,0.66,0,0,0,0.06,🐟
T633100,Meeräsche roh,Grey mullet raw,Mújol crudo,Mulet cru,0.86,108,20.4,2.89,0,0,0,0.172,🐟
T617100,Schafskopf (Meerbrasse) roh,Sheepshead raw,Sargo (dorada) crudo,Sargue crue,0.789,102,20.2,2.41,0,0,0,0.178,🐟
T710100,"Edelkrebs/Flusskrebs, roh",Crayfish raw,"Cangrejo de río, crudo","Écrevisse, crue",0.82,64,15,0.47,0,0,0,0.632,🦐
T720100,Languste roh,"Spiny lobster/rock lobster/crawfish, raw",Langosta cruda,Langouste crue,0.74,79,17.2,1.1,0,0,0,0.455,🦐
T791100,Große Sandklaffmuschel roh,Softshell clam raw,Almeja de concha blanda cruda,Mye crue,0.42,54,10.5,1.31,0,0,0,0.302,🦪
T797100,Venusmuschel roh,Venus clam raw,Almeja cruda,Palourde crue,0.56,73,14.7,0.96,1.4,0,0,0.822,🦪
T793100,"Pilgermuschel/Jakobsmuschel, roh",Scallop raw,"Vieira, cruda","Coquille Saint-Jacques, crue",0.729,63,15.6,0.1,0,0,0,0.74,🦪
U605000,"Schwein Rückenspeck, kernig, ohne Schwartenzug (S VIII) roh","Pork back fat, firm, without rind (S VIII) raw","Cerdo, tocino de lomo, firme, sin corteza (S VIII) crudo","Porc, lard de dos, ferme, sans couenne (S VIII) cru",0.25062,746,4.41,80.92,0,0,0,0.0992,🥓
U605700,"Schwein Speck, ohne Schwartenzug (S VII) roh","Pork neck and back fat, without rind (S VII) raw","Cerdo, tocino, sin corteza (S VII) crudo","Porc, lard, sans couenne (S VII) cru",0.434,660,6.94,70.23,0,0,0,0.1142,🥓
U605800,"Schwein Fettabschnitte, geringer Schwartenzug, sehr geringer Magerfleischanteil (S IX) roh","Pork fat trimmings, low rind content, very low lean meat content (S IX) raw","Cerdo, recortes de grasa, poca corteza, muy poca carne magra (S IX) crudos","Porc, chutes de gras, peu de couenne, très peu de viande maigre (S IX) crues",0.4605,661,7.68,70.04,0,0,0,0.1195,🥩
U807100,"Lamm Fettgewebe, intermuskulär roh","Lamb fatty tissue, intermuscular, raw","Cordero, tejido graso intermuscular, crudo","Agneau, tissu adipeux intermusculaire, cru",0.216,637,5.49,68.3,0,0,0,0.085,🥩
U783100,"Schaf Kochfleisch (Brust, fett) roh","Sheep meat for boiling (breast, fat) raw","Oveja, carne para cocer (pecho, grasa) cruda","Mouton, viande à bouillir (poitrine, gras) crue",0.5,381,12,37,0,0,0,0.2,🥩
U856100,"Hammel Brust, roh","Mutton breast, raw","Carnero, pecho, crudo","Mouton castré, poitrine, crue",0.54,381,12,37,0,0,0,0.232,🥩
U857100,"Lamm Brust, roh","Lamb breast, raw","Cordero, pecho, crudo","Agneau, poitrine, crue",0.734,290,16.3,25,0,0,0,0.2,🥩
U863100,"Schaf Bug/Schulter, fett, roh","Sheep shoulder, fat, raw","Oveja, paleta, grasa, cruda","Mouton, épaule, grasse, crue",0.71,294,17.2,25,0,0,0,0.242,🥩
U867100,"Lamm Bug/Schulter, roh","Lamb shoulder, raw","Cordero, paleta, cruda","Agneau, épaule, crue",0.804,121,19.8,4.6,0,0,0,0.175,🥩
U751100,"Schaf Gulasch (Bug, mager) roh","Sheep goulash (shoulder, lean) raw","Oveja, gulash (paleta, magra) crudo","Mouton, goulasch (épaule, maigre) cru",0.8,140,19.7,6.76,0,0,0,0.175,🍲
U771100,"Schaf Bratenfleisch (Bug, mager) roh","Sheep meat for roasting (shoulder, lean) raw","Oveja, carne para asar (paleta, magra) cruda","Mouton, viande à rôtir (épaule, maigre) crue",0.8,140,19.7,6.76,0,0,0,0.175,🍖
U881100,"Schaf Keule, mager, roh","Sheep leg, lean, raw","Oveja, pierna, magra, cruda","Mouton, gigot, maigre, cru",0.837,128,22.6,4.2,0,0,0,0.16,🥩
U871100,"Schaf Vorderhaxe, mager, roh","Sheep foreshank, lean, raw","Oveja, jarrete delantero, magro, crudo","Mouton, jarret avant, maigre, cru",0.8,112,20.4,3.35,0,0,0,0.205,🥩
V242100,"Wildkaninchen Fleisch, roh","Wild rabbit meat, raw","Conejo silvestre, carne, cruda","Lapin de garenne, viande, crue",0.895,104,20.9,2.32,0,0,0,0.125,🍖
V526100,"Hammel Hirn, roh","Mutton brain, raw","Carnero, sesos, crudos","Mouton castré, cervelle, crue",0.58,126,10.9,9.1,0,0,0,0.28,🍖
C136000,Hafer Grieß,Oat semolina,Sémola de avena,Semoule d'avoine,0.812,360,14.238,7.15,53.2,0.61,12.8,0.015,🌾
C353100,Wildreis roh,Wild rice raw,Arroz salvaje crudo,Riz sauvage cru,0.668,363,13.14,0.953,73.43,0.73,4,0.01452,🍚
H030400,"Glasnudeln aus Mungbohnenstärke, roh","Glass noodles made from mung bean starch, raw","Fideos de cristal de almidón de judía mungo, crudos","Vermicelles d'amidon de haricot mungo, crus",0.014,350,0.237,0.056,85.9,0,2.67,0.039,🍝
C216000,Weizen Stärke,Wheat starch,Almidón de trigo,Amidon de blé,0.02,335,0.431,0.14,82.5,0,1.2,0.005,🌾
K230000,Kartoffelstärke (Kartoffelmehl),Potato starch (potato flour),Almidón de patata (fécula),Fécule de pomme de terre,0.028,338,0.614,0.1,83.1,0,1,0.02,🌾
C456000,Reis Stärke,Rice starch,Almidón de arroz,Amidon de riz,0.044,344,0.819,0.08,85,0,0.2,0.028,🌾
C356000,Reis Grieß,Rice semolina,Sémola de arroz,Semoule de riz,0.39,347,7.198,0.65,77.1,0.28,2,0.01,🌾
C559000,Reisnudeln roh,Rice noodles raw,Fideos de arroz crudos,Nouilles de riz crues,0.39,365,7.198,0.56,81.9,0.28,1.6,0.242,🍝
E609200,Eierteigwaren Tortellini (Fleischfüllung) getrocknet,Egg pasta Tortellini (meat filling) dried,"Pasta al huevo, tortellini (relleno de carne) secos","Pâtes aux œufs, tortellini (farce à la viande) séchés",0.66,369,13.51,7.01,61.85,1.25,2.3,2.162,🍝
E609100,Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet,Egg pasta Tortelloni (ricotta and spinach filling) dried,"Pasta al huevo, tortelloni (relleno de ricota y espinaca) secos","Pâtes aux œufs, tortelloni (farce ricotta-épinards) séchés",0.5,278,10.52,4.51,47.76,2.86,2,1.35,🍝
F413100,Wald-Brombeere roh,Wild blackberry raw,Mora silvestre cruda,Mûre sauvage crue,0.04,49,1.3,0.2,10.2,5.4,3.2,0.002,🫐
F407100,Moosbeere roh,Small cranberry raw,Arándano agrio crudo,Canneberge crue,0.036,69,0.4,0.7,9.93,9.93,4.9,0.005,🫐
F401100,Preiselbeere roh,Lingonberry raw,Arándano rojo crudo,Airelle rouge crue,0.011,43,0.6875,0.53,6.231,6.109,2.89,0.005,🫐
F322100,"Johannisbeere weiß, roh",White currant raw,"Grosella blanca, cruda","Groseille blanche, crue",0.03,45,1.1,0.2,6.1,6.1,3.5,0.005,🫐
F323100,Johannisbeere schwarz roh,Black currant raw,Grosella negra cruda,Cassis cru,0.038,57,1.375,0.22,8.71,8.71,3.5,0.00282,🫐
M052000,"Salzlakenkäse aus Kuhmilch, Hirtenkäse, mind. 45 % Fett i. Tr.","Brine cheese made from cow's milk, min. 45 % fat in dry matter","Queso en salmuera de leche de vaca, queso de pastor, mín. 45 % grasa en extracto seco","Fromage en saumure au lait de vache, min. 45 % MG sur extrait sec",0.929,259,16.361,21,0,0,0,2.498,🧀
M3A4300,"Salzlakenkäse aus Schafmilch, mind. 20 % Fett i. Tr.","Brine cheese made from sheep's milk, min. 20 % fat in dry matter","Queso en salmuera de leche de oveja, mín. 20 % grasa en extracto seco","Fromage en saumure au lait de brebis, min. 20 % MG sur extrait sec",0.95,161,18.846,9,0,0,0,2.875,🧀
M053000,"Salzlakenkäse aus Ziegenmilch, mind. 45 % Fett i. Tr.","Brine cheese made from goat's milk, min. 45 % fat in dry matter","Queso en salmuera de leche de cabra, mín. 45 % grasa en extracto seco","Fromage en saumure au lait de chèvre, min. 45 % MG sur extrait sec",0.8,271,14.9,23,0,0,0,2.288,🧀
M6A6800,"Salzlakenkäse aus Schafmilch, mind. 45 % Fett i. Tr.","Brine cheese made from sheep's milk, min. 45 % fat in dry matter","Queso en salmuera de leche de oveja, mín. 45 % grasa en extracto seco","Fromage en saumure au lait de brebis, min. 45 % MG sur extrait sec",0.877,283,15.445,24.09,0,0,0,2.392,🧀
M516700,Danablu mind. 50 % Fett i. Tr.,Danish Blue cheese min. 50 % fat in dry matter,Danablu (azul danés) mín. 50 % grasa en extracto seco,Danablu (bleu danois) min. 50 % MG sur extrait sec,1.06,354,21.5,29.5,0,0,0,2.9,🥛
P721000,Spirituosen mit Wacholder,Juniper-flavoured spirit drink,Bebida espirituosa de enebro,Boisson spiritueuse au genièvre,0,231,0,0,0,0,0,0.00035,🥃
P7A1000,Spirituosen mit Anis,Aniseed-flavoured spirit drink,Bebida espirituosa anisada,Boisson spiritueuse anisée,0,231,0,0,0,0,0,0.00035,🥃
P730000,Getreidebrand (Korn),Grain spirit,Aguardiente de cereal (Korn),Eau-de-vie de céréales (Korn),0,231,0,0,0,0,0,0.00035,🥃
P620000,Weinbrand/Brandy,Brandy/Weinbrand,Brandy,Brandy,0,221,0,0,0,0,0,0.005,🥃
P722000,Gin,Gin,Ginebra,Gin,0,246,0,0,0,0,0,0.00035,🥃
T402100,Stint roh,European smelt raw,Eperlano crudo,Éperlan cru,0.682,85,17.4,1.7,0,0,0,0.39,🐟
T104100,Sardelle roh,Anchovy raw,Anchoa cruda,Anchois cru,0.943,204,20.1,13.7,0,0,0,0.26,🐟
T070100,Seeteufel roh,Anglerfish raw,Rape crudo,Lotte crue,0.669,66,14.9,0.76,0,0,0,0.272,🐟
